"year","scenario","variable","iter","value"
1975,"F.sq","ssb","1",220584.551944746
1976,"F.sq","ssb","1",285108.733436692
1977,"F.sq","ssb","1",309208.003887672
1978,"F.sq","ssb","1",304280.36763554
1979,"F.sq","ssb","1",286285.842857629
1980,"F.sq","ssb","1",233455.640763176
1981,"F.sq","ssb","1",192592.495456842
1982,"F.sq","ssb","1",154616.480502164
1983,"F.sq","ssb","1",121674.464013433
1984,"F.sq","ssb","1",93989.8377750186
1985,"F.sq","ssb","1",56731.4625595489
1986,"F.sq","ssb","1",60265.7082271169
1987,"F.sq","ssb","1",51783.9739055998
1988,"F.sq","ssb","1",58051.1888803802
1989,"F.sq","ssb","1",65836.2681600989
1990,"F.sq","ssb","1",71903.9567030902
1991,"F.sq","ssb","1",66530.1781415209
1992,"F.sq","ssb","1",70440.5229035325
1993,"F.sq","ssb","1",74210.3116932318
1994,"F.sq","ssb","1",90205.4327680789
1995,"F.sq","ssb","1",114942.035545393
1996,"F.sq","ssb","1",115969.440453971
1997,"F.sq","ssb","1",112718.869674678
1998,"F.sq","ssb","1",127507.70306808
1999,"F.sq","ssb","1",123866.869910297
2000,"F.sq","ssb","1",84442.0923577635
2001,"F.sq","ssb","1",89490.9295011053
2002,"F.sq","ssb","1",99426.4561367882
2003,"F.sq","ssb","1",120171.546960419
2004,"F.sq","ssb","1",158674.215416792
2005,"F.sq","ssb","1",205792.932608302
2006,"F.sq","ssb","1",185007.462871416
2007,"F.sq","ssb","1",133756.310603595
2008,"F.sq","ssb","1",129311.192335309
2009,"F.sq","ssb","1",122981.262203566
2010,"F.sq","ssb","1",110300.973440529
2011,"F.sq","ssb","1",103386.551515499
2012,"F.sq","ssb","1",78075.2662773431
2013,"F.sq","ssb","1",91967.4262914265
2014,"F.sq","ssb","1",105141.912390592
2015,"F.sq","ssb","1",84732.2107877127
2016,"F.sq","ssb","1",63748.0946556938
2017,"F.sq","ssb","1",71530.3875567495
2018,"F.sq","ssb","1",81562.0959163666
2019,"F.sq","ssb","1",95388.6456150866
2020,"F.sq","ssb","1",112924.905640988
2021,"F.sq","ssb","1",125321.407931743
2022,"F.sq","ssb","1",117567.797591081
2023,"F.sq","ssb","1",112923.699083216
2024,"F.sq","ssb","1",101152.732877284
2025,"F.sq","ssb","1",80804.328575398
2026,"F.sq","ssb","1",70480.9925320342
2027,"F.sq","ssb","1",56279.2850304001
2028,"F.sq","ssb","1",31621.3266806158
2029,"F.sq","ssb","1",25385.9018526365
2030,"F.sq","ssb","1",13677.244379777
2031,"F.sq","ssb","1",8856.4589675533
2032,"F.sq","ssb","1",6760.80362261024
2033,"F.sq","ssb","1",4638.52747227889
2034,"F.sq","ssb","1",2290.29983511525
2035,"F.sq","ssb","1",1132.69179568939
1975,"F.sq","catch","1",22048.73007
1976,"F.sq","catch","1",28000.72942
1977,"F.sq","catch","1",35565.00354
1978,"F.sq","catch","1",54624.17894
1979,"F.sq","catch","1",50378.17164
1980,"F.sq","catch","1",61323.02223
1981,"F.sq","catch","1",33421.74113
1982,"F.sq","catch","1",36425.17196
1983,"F.sq","catch","1",27200.90601
1984,"F.sq","catch","1",28211.43372
1985,"F.sq","catch","1",45198.39548
1986,"F.sq","catch","1",16446.271
1987,"F.sq","catch","1",4848.318151
1988,"F.sq","catch","1",11623.87497
1989,"F.sq","catch","1",14286.63534
1990,"F.sq","catch","1",14363.17508
1991,"F.sq","catch","1",21371.01332
1992,"F.sq","catch","1",14557.37862
1993,"F.sq","catch","1",14561.88131
1994,"F.sq","catch","1",21424.41375
1995,"F.sq","catch","1",35664.7971
1996,"F.sq","catch","1",30303.80881
1997,"F.sq","catch","1",39040.09087
1998,"F.sq","catch","1",32294.13963
1999,"F.sq","catch","1",29382.57464
2000,"F.sq","catch","1",37952.39043
2001,"F.sq","catch","1",33983.79591
2002,"F.sq","catch","1",26721.01213
2003,"F.sq","catch","1",31172.07829
2004,"F.sq","catch","1",38858.99643
2005,"F.sq","catch","1",57300.94046
2006,"F.sq","catch","1",60802.71836
2007,"F.sq","catch","1",65316.92518
2008,"F.sq","catch","1",49100.95557
2009,"F.sq","catch","1",52268.52301
2010,"F.sq","catch","1",53709.64951
2011,"F.sq","catch","1",45263.0135
2012,"F.sq","catch","1",36044.85372
2013,"F.sq","catch","1",28043.03506
2014,"F.sq","catch","1",31943.05776
2015,"F.sq","catch","1",39736.66714
2016,"F.sq","catch","1",34251.71084
2017,"F.sq","catch","1",31938.263468809
2018,"F.sq","catch","1",21713.4854926394
2019,"F.sq","catch","1",23785.5146072592
2020,"F.sq","catch","1",23172.4426072712
2021,"F.sq","catch","1",27508.1620678188
2022,"F.sq","catch","1",34906.3169438163
2023,"F.sq","catch","1",41422.6395134987
2024,"F.sq","catch","1",42183.8016895374
2025,"F.sq","catch","1",38760.6739335876
2026,"F.sq","catch","1",34057.4211168209
2027,"F.sq","catch","1",28341.0117968531
2028,"F.sq","catch","1",20799.0317550802
2029,"F.sq","catch","1",15742.2934932057
2030,"F.sq","catch","1",10276.7267165652
2031,"F.sq","catch","1",7562.84288084033
2032,"F.sq","catch","1",4614.55902434588
2033,"F.sq","catch","1",2722.85407206294
2034,"F.sq","catch","1",2386.24466828961
2035,"F.sq","catch","1",1035.30116638207
1975,"F.sq","fbar","1",0.181631643280554
1976,"F.sq","fbar","1",0.182586215165939
1977,"F.sq","fbar","1",0.188861005293954
1978,"F.sq","fbar","1",0.217110583020395
1979,"F.sq","fbar","1",0.22858885585128
1980,"F.sq","fbar","1",0.245214181000756
1981,"F.sq","fbar","1",0.24309217348439
1982,"F.sq","fbar","1",0.247564785810804
1983,"F.sq","fbar","1",0.2577088338134
1984,"F.sq","fbar","1",0.295082421054244
1985,"F.sq","fbar","1",0.328693361090237
1986,"F.sq","fbar","1",0.27163702015391
1987,"F.sq","fbar","1",0.245460240948638
1988,"F.sq","fbar","1",0.281716873655375
1989,"F.sq","fbar","1",0.312699199826127
1990,"F.sq","fbar","1",0.336178108016228
1991,"F.sq","fbar","1",0.362990651420212
1992,"F.sq","fbar","1",0.368250658648697
1993,"F.sq","fbar","1",0.375843150438385
1994,"F.sq","fbar","1",0.406533394927064
1995,"F.sq","fbar","1",0.45559517989441
1996,"F.sq","fbar","1",0.475931764704588
1997,"F.sq","fbar","1",0.522854175203647
1998,"F.sq","fbar","1",0.53134594815591
1999,"F.sq","fbar","1",0.546919902627979
2000,"F.sq","fbar","1",0.637079211218026
2001,"F.sq","fbar","1",0.72640030899896
2002,"F.sq","fbar","1",0.701477899111281
2003,"F.sq","fbar","1",0.696651560836675
