"scenario","time","var","val"
"F.sq","Short Term","ssb",94799.3334989967
"F.sq","Medium Term","ssb",100820.478479093
"F.sq","Long Term","ssb",20513.6049927897
"F.sq","Short Term","catch",25727.6179633686
"F.sq","Medium Term","catch",39324.5688310882
"F.sq","Long Term","catch",12708.4841120074
"F.sq","Short Term","Fbar",1.39651309428471
"F.sq","Medium Term","Fbar",2.99526264864857
"F.sq","Long Term","Fbar",4.56160108632899
"F.sq","Short Term","risk",0.304
"F.sq","Medium Term","risk",0.492
"F.sq","Long Term","risk",0.672
"F.msy","Short Term","ssb",117190.820853833
"F.msy","Medium Term","ssb",143146.802039733
"F.msy","Long Term","ssb",118836.609702883
"F.msy","Short Term","catch",18329.3693665206
"F.msy","Medium Term","catch",36400.7996932421
"F.msy","Long Term","catch",29489.3178231983
"F.msy","Short Term","Fbar",0.824498183600966
"F.msy","Medium Term","Fbar",0.895975294833319
"F.msy","Long Term","Fbar",0.913352694346359
"F.msy","Short Term","risk",0.116
"F.msy","Medium Term","risk",0.328
"F.msy","Long Term","risk",0.492
"F.low","Short Term","ssb",133739.644872238
"F.low","Medium Term","ssb",191454.877879549
"F.low","Long Term","ssb",182484.581463508
"F.low","Short Term","catch",9102.07454217702
"F.low","Medium Term","catch",14608.0153369135
"F.low","Long Term","catch",13504.684697106
"F.low","Short Term","Fbar",0.515633874405125
"F.low","Medium Term","Fbar",0.109885731095243
"F.low","Long Term","Fbar",0.107950197559659
"F.low","Short Term","risk",0.072
"F.low","Medium Term","risk",0.064
"F.low","Long Term","risk",0.132
"F.sqEMERGENCY4","Short Term","ssb",96851.1555001693
"F.sqEMERGENCY4","Medium Term","ssb",107976.136827735
"F.sqEMERGENCY4","Long Term","ssb",31966.8289550255
"F.sqEMERGENCY4","Short Term","catch",24652.8787718193
"F.sqEMERGENCY4","Medium Term","catch",38942.3840585291
"F.sqEMERGENCY4","Long Term","catch",15734.3002588435
"F.sqEMERGENCY4","Short Term","Fbar",1.45829219529036
"F.sqEMERGENCY4","Medium Term","Fbar",2.60481877789405
"F.sqEMERGENCY4","Long Term","Fbar",3.95699769983587
"F.sqEMERGENCY4","Short Term","risk",0.296
"F.sqEMERGENCY4","Medium Term","risk",0.452
"F.sqEMERGENCY4","Long Term","risk",0.628
"F.sqEMERGENCY8","Short Term","ssb",98124.7933021827
"F.sqEMERGENCY8","Medium Term","ssb",111828.129853832
"F.sqEMERGENCY8","Long Term","ssb",38521.3607102733
"F.sqEMERGENCY8","Short Term","catch",24229.78509998
"F.sqEMERGENCY8","Medium Term","catch",39162.1112466666
"F.sqEMERGENCY8","Long Term","catch",16916.3622417695
"F.sqEMERGENCY8","Short Term","Fbar",1.39524214013291
"F.sqEMERGENCY8","Medium Term","Fbar",2.44276682986132
"F.sqEMERGENCY8","Long Term","Fbar",3.77164550288288
"F.sqEMERGENCY8","Short Term","risk",0.276
"F.sqEMERGENCY8","Medium Term","risk",0.444
"F.sqEMERGENCY8","Long Term","risk",0.616
"Fmsy2020","Short Term","ssb",106737.793288943
"Fmsy2020","Medium Term","ssb",143142.641663852
"Fmsy2020","Long Term","ssb",111986.531198043
"Fmsy2020","Short Term","catch",21430.8546736734
"Fmsy2020","Medium Term","catch",34681.1722828118
"Fmsy2020","Long Term","catch",27873.5917672053
"Fmsy2020","Short Term","Fbar",1.07690344036076
"Fmsy2020","Medium Term","Fbar",0.870041072014175
"Fmsy2020","Long Term","Fbar",0.905855524301722
"Fmsy2020","Short Term","risk",0.224
"Fmsy2020","Medium Term","risk",0.336
"Fmsy2020","Long Term","risk",0.492
"Fmsy2025","Short Term","ssb",96006.3705860696
"Fmsy2025","Medium Term","ssb",134979.847529215
"Fmsy2025","Long Term","ssb",88213.7884500701
"Fmsy2025","Short Term","catch",25525.8556727163
"Fmsy2025","Medium Term","catch",30712.0610073566
"Fmsy2025","Long Term","catch",23760.0366647359
"Fmsy2025","Short Term","Fbar",1.37203810706814
"Fmsy2025","Medium Term","Fbar",0.841465607908161
"Fmsy2025","Long Term","Fbar",0.944081857422095
"Fmsy2025","Short Term","risk",0.304
"Fmsy2025","Medium Term","risk",0.388
"Fmsy2025","Long Term","risk",0.524
"Fmsy2021","Short Term","ssb",102935.404711637
"Fmsy2021","Medium Term","ssb",142270.215379447
"Fmsy2021","Long Term","ssb",107480.70558776
"Fmsy2021","Short Term","catch",22535.1940613853
"Fmsy2021","Medium Term","catch",33623.2624369436
"Fmsy2021","Long Term","catch",27426.6939208324
"Fmsy2021","Short Term","Fbar",1.17220478201985
"Fmsy2021","Medium Term","Fbar",0.866579815986611
"Fmsy2021","Long Term","Fbar",0.906158114213086
"Fmsy2021","Short Term","risk",0.256
"Fmsy2021","Medium Term","risk",0.34
"Fmsy2021","Long Term","risk",0.492
"Fmsy2023","Short Term","ssb",98215.3565725306
"Fmsy2023","Medium Term","ssb",134439.73684761
"Fmsy2023","Long Term","ssb",105073.656518407
"Fmsy2023","Short Term","catch",24741.0406817253
"Fmsy2023","Medium Term","catch",31585.3855899055
"Fmsy2023","Long Term","catch",25470.0586909866
"Fmsy2023","Short Term","Fbar",1.30609581723792
"Fmsy2023","Medium Term","Fbar",0.851207796010835
"Fmsy2023","Long Term","Fbar",0.950370967400999
"Fmsy2023","Short Term","risk",0.296
"Fmsy2023","Medium Term","risk",0.376
"Fmsy2023","Long Term","risk",0.52
"C2014","Short Term","ssb",69511.1839222525
"C2014","Medium Term","ssb",47490.7224695474
"C2014","Long Term","ssb",11567.9916799468
"C2014","Short Term","catch",31836.5840824636
"C2014","Medium Term","catch",27598.3508201581
"C2014","Long Term","catch",6351.81489236915
"C2014","Short Term","Fbar",2.91781134593336
"C2014","Medium Term","Fbar",5.75731565766889
"C2014","Long Term","Fbar",7.28540117579138
"C2014","Short Term","risk",0.44
"C2014","Medium Term","risk",0.536
"C2014","Long Term","risk",0.628
"Chistmin","Short Term","ssb",130352.614953111
"Chistmin","Medium Term","ssb",206322.548814517
"Chistmin","Long Term","ssb",202029.872178444
"Chistmin","Short Term","catch",10282.1105765377
"Chistmin","Medium Term","catch",4848.64552058088
"Chistmin","Long Term","catch",4848.93089605379
"Chistmin","Short Term","Fbar",0.553740445470322
"Chistmin","Medium Term","Fbar",0.0308779802685549
"Chistmin","Long Term","Fbar",0.0285135089884137
"Chistmin","Short Term","risk",0.072
"Chistmin","Medium Term","risk",0.064
"Chistmin","Long Term","risk",0.108
"C5red","Short Term","ssb",78942.9114812422
"C5red","Medium Term","ssb",104423.692821718
"C5red","Long Term","ssb",38520.978493913
"C5red","Short Term","catch",27255.6265646482
"C5red","Medium Term","catch",26920.9803969726
"C5red","Long Term","catch",15230.3731080002
"C5red","Short Term","Fbar",2.0265632263992
"C5red","Medium Term","Fbar",1.2866580457083
"C5red","Long Term","Fbar",4.00226367525427
"C5red","Short Term","risk",0.372
"C5red","Medium Term","risk",0.472
"C5red","Long Term","risk",0.604
"C10red","Short Term","ssb",86147.0396763881
"C10red","Medium Term","ssb",127600.755579459
"C10red","Long Term","ssb",70607.670510893
"C10red","Short Term","catch",25975.2100849863
"C10red","Medium Term","catch",29779.990405785
"C10red","Long Term","catch",18658.9808987971
"C10red","Short Term","Fbar",1.66929994390826
"C10red","Medium Term","Fbar",1.0655125882122
"C10red","Long Term","Fbar",1.16161014236657
"C10red","Short Term","risk",0.34
"C10red","Medium Term","risk",0.448
"C10red","Long Term","risk",0.548
"C20red","Short Term","ssb",98692.1709865173
"C20red","Medium Term","ssb",135440.472670729
"C20red","Long Term","ssb",107312.221913521
"C20red","Short Term","catch",21541.3168407541
"C20red","Medium Term","catch",33225.3782700047
"C20red","Long Term","catch",26183.0112742006
"C20red","Short Term","Fbar",1.28138876318906
"C20red","Medium Term","Fbar",0.906236874416165
"C20red","Long Term","Fbar",0.781931030446878
"C20red","Short Term","risk",0.276
"C20red","Medium Term","risk",0.368
"C20red","Long Term","risk",0.444
"C50red","Short Term","ssb",119386.400416168
"C50red","Medium Term","ssb",147522.340528064
"C50red","Long Term","ssb",123970.799694779
"C50red","Short Term","catch",12419.555512964
"C50red","Medium Term","catch",38376.443530752
"C50red","Long Term","catch",31315.1025245063
"C50red","Short Term","Fbar",0.757411748796318
"C50red","Medium Term","Fbar",0.837877943558442
"C50red","Long Term","Fbar",0.693794338480228
"C50red","Short Term","risk",0.108
"C50red","Medium Term","risk",0.216
"C50red","Long Term","risk",0.304
"GFCM.HCR","Short Term","ssb",127769.938446305
"GFCM.HCR","Medium Term","ssb",147293.29179903
"GFCM.HCR","Long Term","ssb",123323.605728376
"GFCM.HCR","Short Term","catch",15089.2341834915
"GFCM.HCR","Medium Term","catch",38170.6520891304
"GFCM.HCR","Long Term","catch",30439.1429722496
"GFCM.HCR","Short Term","Fbar",0.618132588925825
"GFCM.HCR","Medium Term","Fbar",0.865762246006337
"GFCM.HCR","Long Term","Fbar",0.669366260340713
"GFCM.HCR","Short Term","risk",0.072
"GFCM.HCR","Medium Term","risk",0.272
"GFCM.HCR","Long Term","risk",0.388
"GFCM.HCR.modif","Short Term","ssb",128560.72462712
"GFCM.HCR.modif","Medium Term","ssb",146682.939561449
"GFCM.HCR.modif","Long Term","ssb",123469.064713243
"GFCM.HCR.modif","Short Term","catch",14867.8329494815
"GFCM.HCR.modif","Medium Term","catch",38711.6560645125
"GFCM.HCR.modif","Long Term","catch",30339.7107054049
"GFCM.HCR.modif","Short Term","Fbar",0.603209816740514
"GFCM.HCR.modif","Medium Term","Fbar",0.86947184105894
"GFCM.HCR.modif","Long Term","Fbar",0.66093450346362
"GFCM.HCR.modif","Short Term","risk",0.072
"GFCM.HCR.modif","Medium Term","risk",0.264
"GFCM.HCR.modif","Long Term","risk",0.384
"Bpa.Fmsy2020","Short Term","ssb",123548.269171131
"Bpa.Fmsy2020","Medium Term","ssb",137979.518228672
"Bpa.Fmsy2020","Long Term","ssb",114680.115123661
"Bpa.Fmsy2020","Short Term","catch",16025.7770581583
"Bpa.Fmsy2020","Medium Term","catch",37503.7476519737
"Bpa.Fmsy2020","Long Term","catch",30956.3109763258
"Bpa.Fmsy2020","Short Term","Fbar",0.734616419988387
"Bpa.Fmsy2020","Medium Term","Fbar",1.07764205609765
"Bpa.Fmsy2020","Long Term","Fbar",0.741558196905548
"Bpa.Fmsy2020","Short Term","risk",0.072
"Bpa.Fmsy2020","Medium Term","risk",0.308
"Bpa.Fmsy2020","Long Term","risk",0.424
