"year","scenario","variable","iter","value"
1975,"F.sq","ssb","1",551906.214637453
1976,"F.sq","ssb","1",594705.773817566
1977,"F.sq","ssb","1",615601.482745018
1978,"F.sq","ssb","1",568344.502742609
1979,"F.sq","ssb","1",577306.977943525
1980,"F.sq","ssb","1",614257.347045892
1981,"F.sq","ssb","1",722081.993900675
1982,"F.sq","ssb","1",710375.141487498
1983,"F.sq","ssb","1",697935.827563259
1984,"F.sq","ssb","1",684056.311560085
1985,"F.sq","ssb","1",577765.324066635
1986,"F.sq","ssb","1",517361.612339101
1987,"F.sq","ssb","1",465221.771129598
1988,"F.sq","ssb","1",468655.265326118
1989,"F.sq","ssb","1",479848.68889487
1990,"F.sq","ssb","1",463726.52945863
1991,"F.sq","ssb","1",433098.041869577
1992,"F.sq","ssb","1",400370.467991804
1993,"F.sq","ssb","1",405767.63959625
1994,"F.sq","ssb","1",364120.799531209
1995,"F.sq","ssb","1",313245.212874014
1996,"F.sq","ssb","1",276646.552396922
1997,"F.sq","ssb","1",244492.681502032
1998,"F.sq","ssb","1",189732.070854806
1999,"F.sq","ssb","1",169476.917645364
2000,"F.sq","ssb","1",132945.636080592
2001,"F.sq","ssb","1",124708.773241012
2002,"F.sq","ssb","1",132638.981716547
2003,"F.sq","ssb","1",137002.365105635
2004,"F.sq","ssb","1",144435.262500118
2005,"F.sq","ssb","1",130041.488930992
2006,"F.sq","ssb","1",138925.110708414
2007,"F.sq","ssb","1",140018.260463428
2008,"F.sq","ssb","1",153557.631156927
2009,"F.sq","ssb","1",149803.896843249
2010,"F.sq","ssb","1",149332.34291046
2011,"F.sq","ssb","1",160079.270981157
2012,"F.sq","ssb","1",162040.410929903
2013,"F.sq","ssb","1",182174.648149831
2014,"F.sq","ssb","1",199817.747854395
2015,"F.sq","ssb","1",173379.688708811
2016,"F.sq","ssb","1",163354.807719713
2017,"F.sq","ssb","1",175360.156252189
2018,"F.sq","ssb","1",187097.184769386
2019,"F.sq","ssb","1",200745.669955654
2020,"F.sq","ssb","1",208081.142949867
2021,"F.sq","ssb","1",215025.065104282
2022,"F.sq","ssb","1",213851.372422892
2023,"F.sq","ssb","1",220969.930046749
2024,"F.sq","ssb","1",226782.513037234
2025,"F.sq","ssb","1",210874.10263147
2026,"F.sq","ssb","1",189622.875263678
2027,"F.sq","ssb","1",157338.025248042
2028,"F.sq","ssb","1",127920.724757568
2029,"F.sq","ssb","1",100534.012450913
2030,"F.sq","ssb","1",75534.6481221258
2031,"F.sq","ssb","1",46365.9806906674
2032,"F.sq","ssb","1",21760.7316027361
2033,"F.sq","ssb","1",9446.71147374063
2034,"F.sq","ssb","1",3638.13743739737
2035,"F.sq","ssb","1",1663.09392661901
1975,"F.sq","catch","1",33887.17076
