"year","scenario","variable","iter","value"
1975,"F.low","ssb","1",198649.277338196
1976,"F.low","ssb","1",264272.71611266
1977,"F.low","ssb","1",268745.470398525
1978,"F.low","ssb","1",276890.169795959
1979,"F.low","ssb","1",271561.150737689
1980,"F.low","ssb","1",212494.206062557
1981,"F.low","ssb","1",184286.93522497
1982,"F.low","ssb","1",144838.002860321
1983,"F.low","ssb","1",114715.902360366
1984,"F.low","ssb","1",87933.9292414196
1985,"F.low","ssb","1",53271.8592654721
1986,"F.low","ssb","1",59024.9470553458
1987,"F.low","ssb","1",48382.9264263443
1988,"F.low","ssb","1",51135.8020828376
1989,"F.low","ssb","1",58265.1175070058
1990,"F.low","ssb","1",62627.2978931463
1991,"F.low","ssb","1",57477.0995743538
1992,"F.low","ssb","1",61580.0496693186
1993,"F.low","ssb","1",72650.5678110143
1994,"F.low","ssb","1",90614.8228796283
1995,"F.low","ssb","1",131723.183569455
1996,"F.low","ssb","1",134665.226170482
1997,"F.low","ssb","1",124000.745067663
1998,"F.low","ssb","1",133577.857700491
1999,"F.low","ssb","1",130542.790775038
2000,"F.low","ssb","1",87788.2009946818
2001,"F.low","ssb","1",85671.2987549408
2002,"F.low","ssb","1",97090.9036296355
2003,"F.low","ssb","1",121585.311760929
2004,"F.low","ssb","1",170290.952054531
2005,"F.low","ssb","1",213721.327519269
2006,"F.low","ssb","1",185413.464773151
2007,"F.low","ssb","1",127402.867077579
2008,"F.low","ssb","1",116623.766579854
2009,"F.low","ssb","1",117376.148999244
2010,"F.low","ssb","1",102952.889762507
2011,"F.low","ssb","1",103509.226497648
2012,"F.low","ssb","1",67101.5827154141
2013,"F.low","ssb","1",81641.5601963311
2014,"F.low","ssb","1",91255.0003875018
2015,"F.low","ssb","1",65499.9545848659
2016,"F.low","ssb","1",42834.7227231719
2017,"F.low","ssb","1",35099.8809947087
2018,"F.low","ssb","1",37877.3102393163
2019,"F.low","ssb","1",36168.2969454576
2020,"F.low","ssb","1",29836.1903755919
2021,"F.low","ssb","1",24107.9738651296
2022,"F.low","ssb","1",17115.9673056134
2023,"F.low","ssb","1",10964.4010630528
2024,"F.low","ssb","1",7005.22461658562
2025,"F.low","ssb","1",4080.41042546556
1975,"F.low","ssb","2",224786.69320881
1976,"F.low","ssb","2",282744.712692808
1977,"F.low","ssb","2",301120.207552168
1978,"F.low","ssb","2",298556.907804782
1979,"F.low","ssb","2",316492.753005424
1980,"F.low","ssb","2",274778.744476666
1981,"F.low","ssb","2",224981.090561497
1982,"F.low","ssb","2",167526.380880668
1983,"F.low","ssb","2",116707.967386049
1984,"F.low","ssb","2",88230.7283502866
1985,"F.low","ssb","2",55496.724127167
1986,"F.low","ssb","2",57802.0627301644
1987,"F.low","ssb","2",49463.0706473934
1988,"F.low","ssb","2",58793.3193388446
1989,"F.low","ssb","2",71823.2171950279
