"scenario","time","var","val"
"F.sq","Short Term","ssb",94938.0441561529
"F.sq","Medium Term","ssb",101289.541963906
"F.sq","Long Term","ssb",20205.2381558494
"F.sq","Short Term","catch",25635.469317813
"F.sq","Medium Term","catch",39280.2866596407
"F.sq","Long Term","catch",12847.411412284
"F.sq","Short Term","Fbar",1.39700535234297
"F.sq","Medium Term","Fbar",2.98420649901068
"F.sq","Long Term","Fbar",4.442864729629
"F.sq","Short Term","risk",0.304
"F.sq","Medium Term","risk",0.484
"F.sq","Long Term","risk",0.668
"F.msy","Short Term","ssb",117352.428429089
"F.msy","Medium Term","ssb",143156.55462581
"F.msy","Long Term","ssb",119422.268535577
"F.msy","Short Term","catch",18467.8178173671
"F.msy","Medium Term","catch",36322.4289706946
"F.msy","Long Term","catch",29592.3479438824
"F.msy","Short Term","Fbar",0.826952531712699
"F.msy","Medium Term","Fbar",0.880314989773542
"F.msy","Long Term","Fbar",0.902903576319455
"F.msy","Short Term","risk",0.124
"F.msy","Medium Term","risk",0.328
"F.msy","Long Term","risk",0.492
"F.low","Short Term","ssb",133538.736527469
"F.low","Medium Term","ssb",191294.438193291
"F.low","Long Term","ssb",182681.391939874
"F.low","Short Term","catch",9451.41540368787
"F.low","Medium Term","catch",14251.0182122149
"F.low","Long Term","catch",13569.8876638393
"F.low","Short Term","Fbar",0.520027480370007
"F.low","Medium Term","Fbar",0.107319612567365
"F.low","Long Term","Fbar",0.107805073241159
"F.low","Short Term","risk",0.072
"F.low","Medium Term","risk",0.068
"F.low","Long Term","risk",0.132
"F.sqEMERGENCY4","Short Term","ssb",96899.8844573132
"F.sqEMERGENCY4","Medium Term","ssb",108677.563786706
"F.sqEMERGENCY4","Long Term","ssb",32847.6219765216
"F.sqEMERGENCY4","Short Term","catch",24529.0691279115
"F.sqEMERGENCY4","Medium Term","catch",38942.3840585291
"F.sqEMERGENCY4","Long Term","catch",15531.6185695561
"F.sqEMERGENCY4","Short Term","Fbar",1.44795060375662
"F.sqEMERGENCY4","Medium Term","Fbar",2.54916247038707
"F.sqEMERGENCY4","Long Term","Fbar",3.82946494843303
"F.sqEMERGENCY4","Short Term","risk",0.292
"F.sqEMERGENCY4","Medium Term","risk",0.452
"F.sqEMERGENCY4","Long Term","risk",0.62
"F.sqEMERGENCY8","Short Term","ssb",98147.081064675
"F.sqEMERGENCY8","Medium Term","ssb",113204.138354611
"F.sqEMERGENCY8","Long Term","ssb",39932.5022093049
"F.sqEMERGENCY8","Short Term","catch",24135.2623559614
"F.sqEMERGENCY8","Medium Term","catch",39089.2053214405
"F.sqEMERGENCY8","Long Term","catch",17013.6204519796
"F.sqEMERGENCY8","Short Term","Fbar",1.39034329208515
"F.sqEMERGENCY8","Medium Term","Fbar",2.35643042252614
"F.sqEMERGENCY8","Long Term","Fbar",3.5151312385277
"F.sqEMERGENCY8","Short Term","risk",0.276
"F.sqEMERGENCY8","Medium Term","risk",0.444
"F.sqEMERGENCY8","Long Term","risk",0.616
"Fmsy2020","Short Term","ssb",106906.458482305
"Fmsy2020","Medium Term","ssb",144223.853657633
"Fmsy2020","Long Term","ssb",112473.532079202
"Fmsy2020","Short Term","catch",21330.7408433134
"Fmsy2020","Medium Term","catch",34594.5816111278
"Fmsy2020","Long Term","catch",27779.0270071212
"Fmsy2020","Short Term","Fbar",1.07466543996265
"Fmsy2020","Medium Term","Fbar",0.845270991317881
"Fmsy2020","Long Term","Fbar",0.893478463846035
"Fmsy2020","Short Term","risk",0.224
"Fmsy2020","Medium Term","risk",0.332
"Fmsy2020","Long Term","risk",0.492
"Fmsy2025","Short Term","ssb",96138.1721696437
"Fmsy2025","Medium Term","ssb",135138.287446409
"Fmsy2025","Long Term","ssb",88548.5503694703
"Fmsy2025","Short Term","catch",25482.9248630696
"Fmsy2025","Medium Term","catch",30640.4727662266
"Fmsy2025","Long Term","catch",23815.0959605694
"Fmsy2025","Short Term","Fbar",1.36785289947717
"Fmsy2025","Medium Term","Fbar",0.820340646149611
"Fmsy2025","Long Term","Fbar",0.943034127345835
"Fmsy2025","Short Term","risk",0.304
"Fmsy2025","Medium Term","risk",0.384
"Fmsy2025","Long Term","risk",0.528
"Fmsy2021","Short Term","ssb",103077.459176737
"Fmsy2021","Medium Term","ssb",143859.076616911
"Fmsy2021","Long Term","ssb",109702.917491444
"Fmsy2021","Short Term","catch",22469.961196771
"Fmsy2021","Medium Term","catch",33512.3175956193
"Fmsy2021","Long Term","catch",27553.3540428305
"Fmsy2021","Short Term","Fbar",1.1681712572733
"Fmsy2021","Medium Term","Fbar",0.85065333849392
"Fmsy2021","Long Term","Fbar",0.895999782902876
"Fmsy2021","Short Term","risk",0.256
"Fmsy2021","Medium Term","risk",0.34
"Fmsy2021","Long Term","risk",0.492
"Fmsy2023","Short Term","ssb",98358.6688828004
"Fmsy2023","Medium Term","ssb",135212.16560628
"Fmsy2023","Long Term","ssb",106110.468891198
"Fmsy2023","Short Term","catch",24741.0451276736
"Fmsy2023","Medium Term","catch",31430.4799177503
"Fmsy2023","Long Term","catch",25602.2743907798
"Fmsy2023","Short Term","Fbar",1.30055854336256
"Fmsy2023","Medium Term","Fbar",0.850880595144661
"Fmsy2023","Long Term","Fbar",0.945179343943634
"Fmsy2023","Short Term","risk",0.296
"Fmsy2023","Medium Term","risk",0.376
"Fmsy2023","Long Term","risk",0.512
"C2014","Short Term","ssb",69511.1839222525
"C2014","Medium Term","ssb",47533.9852346214
"C2014","Long Term","ssb",11567.9916799468
"C2014","Short Term","catch",31836.5840824636
"C2014","Medium Term","catch",27598.3508201581
"C2014","Long Term","catch",6291.17180220145
"C2014","Short Term","Fbar",2.91781134593336
"C2014","Medium Term","Fbar",5.73331518837369
"C2014","Long Term","Fbar",7.28231905362735
"C2014","Short Term","risk",0.44
"C2014","Medium Term","risk",0.536
"C2014","Long Term","risk",0.628
"Chistmin","Short Term","ssb",130352.614953111
"Chistmin","Medium Term","ssb",206322.548814517
"Chistmin","Long Term","ssb",202029.872178444
"Chistmin","Short Term","catch",10282.1105765377
"Chistmin","Medium Term","catch",4848.64552058088
"Chistmin","Long Term","catch",4848.93089605379
"Chistmin","Short Term","Fbar",0.553740445470322
"Chistmin","Medium Term","Fbar",0.0308779802685549
"Chistmin","Long Term","Fbar",0.0285135089884137
"Chistmin","Short Term","risk",0.072
"Chistmin","Medium Term","risk",0.064
"Chistmin","Long Term","risk",0.108
"C5red","Short Term","ssb",78942.9114812422
"C5red","Medium Term","ssb",105241.537824589
"C5red","Long Term","ssb",38521.2508395049
"C5red","Short Term","catch",27221.3442520083
"C5red","Medium Term","catch",26412.7035610762
"C5red","Long Term","catch",15230.3731080002
"C5red","Short Term","Fbar",2.0265632263992
"C5red","Medium Term","Fbar",1.30911472753725
"C5red","Long Term","Fbar",3.87796206522312
"C5red","Short Term","risk",0.372
"C5red","Medium Term","risk",0.472
"C5red","Long Term","risk",0.604
"C10red","Short Term","ssb",86147.0396763881
"C10red","Medium Term","ssb",128482.767180693
"C10red","Long Term","ssb",71482.2809015996
"C10red","Short Term","catch",25978.7160952463
"C10red","Medium Term","catch",29263.9636190481
"C10red","Long Term","catch",18276.8774605911
"C10red","Short Term","Fbar",1.66812069324483
"C10red","Medium Term","Fbar",1.00369532421631
"C10red","Long Term","Fbar",1.12316425377706
"C10red","Short Term","risk",0.34
"C10red","Medium Term","risk",0.444
"C10red","Long Term","risk",0.548
"C20red","Short Term","ssb",98692.1709865173
"C20red","Medium Term","ssb",135669.328699211
"C20red","Long Term","ssb",107594.715578009
"C20red","Short Term","catch",21541.3168407541
"C20red","Medium Term","catch",33183.5126447223
"C20red","Long Term","catch",26244.9880022552
"C20red","Short Term","Fbar",1.28138876318906
"C20red","Medium Term","Fbar",0.89073261363728
"C20red","Long Term","Fbar",0.771783433120024
"C20red","Short Term","risk",0.276
"C20red","Medium Term","risk",0.364
"C20red","Long Term","risk",0.444
"C50red","Short Term","ssb",119386.400416168
"C50red","Medium Term","ssb",148778.209265943
"C50red","Long Term","ssb",128671.948823722
"C50red","Short Term","catch",12419.7247304194
"C50red","Medium Term","catch",38171.9885017542
"C50red","Long Term","catch",31062.9355405795
"C50red","Short Term","Fbar",0.757411748796318
"C50red","Medium Term","Fbar",0.834115106542508
"C50red","Long Term","Fbar",0.672452680329669
"C50red","Short Term","risk",0.108
"C50red","Medium Term","risk",0.216
"C50red","Long Term","risk",0.276
"GFCM.HCR","Short Term","ssb",127150.857710142
"GFCM.HCR","Medium Term","ssb",148084.823913191
"GFCM.HCR","Long Term","ssb",120434.908512223
"GFCM.HCR","Short Term","catch",15821.9106703361
"GFCM.HCR","Medium Term","catch",37533.1086870609
"GFCM.HCR","Long Term","catch",30139.4717625226
"GFCM.HCR","Short Term","Fbar",0.621857353043619
"GFCM.HCR","Medium Term","Fbar",0.833086942976211
"GFCM.HCR","Long Term","Fbar",0.687343870282593
"GFCM.HCR","Short Term","risk",0.072
"GFCM.HCR","Medium Term","risk",0.276
"GFCM.HCR","Long Term","risk",0.392
"GFCM.HCR.modif","Short Term","ssb",128332.697474597
