"year","scenario","variable","iter","value"
1975,"F.msy","ssb","1",553687.901324606
1976,"F.msy","ssb","1",595252.749632099
1977,"F.msy","ssb","1",615799.085658426
1978,"F.msy","ssb","1",568760.375917152
1979,"F.msy","ssb","1",578527.582969652
1980,"F.msy","ssb","1",615559.041957258
1981,"F.msy","ssb","1",721392.766786412
1982,"F.msy","ssb","1",710477.642903627
1983,"F.msy","ssb","1",697897.34567718
1984,"F.msy","ssb","1",683567.966760764
1985,"F.msy","ssb","1",577895.879023184
1986,"F.msy","ssb","1",517088.438043707
1987,"F.msy","ssb","1",464285.698607911
1988,"F.msy","ssb","1",467986.977148513
1989,"F.msy","ssb","1",479113.472733382
1990,"F.msy","ssb","1",463272.423860786
1991,"F.msy","ssb","1",433629.774389273
1992,"F.msy","ssb","1",401249.861141677
1993,"F.msy","ssb","1",406264.759915454
1994,"F.msy","ssb","1",364955.907083311
1995,"F.msy","ssb","1",314294.418206309
1996,"F.msy","ssb","1",277006.388689437
1997,"F.msy","ssb","1",244460.186221508
1998,"F.msy","ssb","1",189428.113041493
1999,"F.msy","ssb","1",169428.788711698
2000,"F.msy","ssb","1",132718.703145253
2001,"F.msy","ssb","1",124340.628734586
2002,"F.msy","ssb","1",131993.276298936
2003,"F.msy","ssb","1",136316.603616205
2004,"F.msy","ssb","1",143604.118826699
2005,"F.msy","ssb","1",130039.500105922
2006,"F.msy","ssb","1",140873.824435155
2007,"F.msy","ssb","1",141976.733833611
2008,"F.msy","ssb","1",154671.761922566
2009,"F.msy","ssb","1",151643.973113862
2010,"F.msy","ssb","1",151142.635191859
2011,"F.msy","ssb","1",159812.013845189
2012,"F.msy","ssb","1",160682.989524527
2013,"F.msy","ssb","1",183115.108100867
2014,"F.msy","ssb","1",197031.666687261
2015,"F.msy","ssb","1",169508.015763758
2016,"F.msy","ssb","1",151123.750142573
2017,"F.msy","ssb","1",148326.909578043
2018,"F.msy","ssb","1",132061.173111795
2019,"F.msy","ssb","1",129666.831863083
2020,"F.msy","ssb","1",136227.579374107
2021,"F.msy","ssb","1",149039.890215266
2022,"F.msy","ssb","1",182426.59156657
2023,"F.msy","ssb","1",232358.835303763
2024,"F.msy","ssb","1",275529.577499412
2025,"F.msy","ssb","1",326580.395731068
2026,"F.msy","ssb","1",373316.037514813
2027,"F.msy","ssb","1",393129.343427696
1975,"F.msy","ssb","2",551692.255006571
1976,"F.msy","ssb","2",594526.775309433
1977,"F.msy","ssb","2",615388.633969794
1978,"F.msy","ssb","2",568089.602360176
1979,"F.msy","ssb","2",577080.831237266
1980,"F.msy","ssb","2",614190.67160094
1981,"F.msy","ssb","2",722239.8308459
1982,"F.msy","ssb","2",710410.71931578
1983,"F.msy","ssb","2",697904.839471375
1984,"F.msy","ssb","2",684026.29034504
1985,"F.msy","ssb","2",577676.604519806
1986,"F.msy","ssb","2",517379.642922852
1987,"F.msy","ssb","2",465291.279310765
1988,"F.msy","ssb","2",468733.891781683
1989,"F.msy","ssb","2",479917.656331118
1990,"F.msy","ssb","2",463722.353455454
1991,"F.msy","ssb","2",433041.017010117
