"scenario","time","var","val"
"F.msy","Short Term","ssb",165299.040232309
"F.msy","Medium Term","ssb",207597.944617387
"F.msy","Long Term","ssb",290569.88840558
"F.msy","Short Term","catch",54896.5570255063
"F.msy","Medium Term","catch",37103.5428568627
"F.msy","Long Term","catch",63265.9112725149
"F.msy","Short Term","Fbar",1.17165195728138
"F.msy","Medium Term","Fbar",0.37579682090946
"F.msy","Long Term","Fbar",0.500796885597429
"F.msy","Short Term","risk",0
"F.msy","Medium Term","risk",0
"F.msy","Long Term","risk",0
"Bpa.Fmsy2020","Short Term","ssb",165299.040232309
"Bpa.Fmsy2020","Medium Term","ssb",85896.521066259
"Bpa.Fmsy2020","Long Term","ssb",109777.690206716
"Bpa.Fmsy2020","Short Term","catch",112074.660887435
"Bpa.Fmsy2020","Medium Term","catch",25883.1788807915
"Bpa.Fmsy2020","Long Term","catch",7314.57287624448
"Bpa.Fmsy2020","Short Term","Fbar",4.1706529503006
"Bpa.Fmsy2020","Medium Term","Fbar",1.52954392756452
"Bpa.Fmsy2020","Long Term","Fbar",0.0738651106983086
"Bpa.Fmsy2020","Short Term","risk",0
"Bpa.Fmsy2020","Medium Term","risk",0.5
"Bpa.Fmsy2020","Long Term","risk",0.5
"C5red","Short Term","ssb",165299.040232309
"C5red","Medium Term","ssb",108282.737170715
"C5red","Long Term","ssb",46609.7090110192
"C5red","Short Term","catch",78514.90249385
"C5red","Medium Term","catch",55798.4605483388
"C5red","Long Term","catch",30345.9941313682
"C5red","Short Term","Fbar",1.84221549024634
"C5red","Medium Term","Fbar",4.84447110265469
"C5red","Long Term","Fbar",6.58073042479295
"C5red","Short Term","risk",0
"C5red","Medium Term","risk",0.5
"C5red","Long Term","risk",1
"C2014","Short Term","ssb",165299.040232309
"C2014","Medium Term","ssb",92481.8481492852
"C2014","Long Term","ssb",13999.2072298291
"C2014","Short Term","catch",82538.66228
"C2014","Medium Term","catch",62545.2772894445
"C2014","Long Term","catch",14900.9632402644
"C2014","Short Term","Fbar",2.00662155866034
"C2014","Medium Term","Fbar",6.23191085187217
"C2014","Long Term","Fbar",10
"C2014","Short Term","risk",0
"C2014","Medium Term","risk",1
"C2014","Long Term","risk",1
"Fmsy2020","Short Term","ssb",165299.040232309
"Fmsy2020","Medium Term","ssb",166679.76263468
"Fmsy2020","Long Term","ssb",212895.14998897
"Fmsy2020","Short Term","catch",65758.4083731124
"Fmsy2020","Medium Term","catch",38405.8711976714
"Fmsy2020","Long Term","catch",45592.1920607919
"Fmsy2020","Short Term","Fbar",1.42923420733747
"Fmsy2020","Medium Term","Fbar",0.607808932156778
"Fmsy2020","Long Term","Fbar",0.480431888916156
"Fmsy2020","Short Term","risk",0
"Fmsy2020","Medium Term","risk",0.5
"Fmsy2020","Long Term","risk",0
"GFCM.HCR","Short Term","ssb",165299.040232309
"GFCM.HCR","Medium Term","ssb",250869.38382886
"GFCM.HCR","Long Term","ssb",361487.198539838
"GFCM.HCR","Short Term","catch",45110.1536832477
"GFCM.HCR","Medium Term","catch",35898.7891761206
"GFCM.HCR","Long Term","catch",85292.6149093671
"GFCM.HCR","Short Term","Fbar",0.9893136889678
"GFCM.HCR","Medium Term","Fbar",0.249082282382218
"GFCM.HCR","Long Term","Fbar",0.573961033967651
"GFCM.HCR","Short Term","risk",0
"GFCM.HCR","Medium Term","risk",0
"GFCM.HCR","Long Term","risk",0
"GFCM.HCR.modif","Short Term","ssb",165299.040232309
"GFCM.HCR.modif","Medium Term","ssb",255828.804398654
"GFCM.HCR.modif","Long Term","ssb",375235.067705564
"GFCM.HCR.modif","Short Term","catch",45110.1536832477
"GFCM.HCR.modif","Medium Term","catch",32272.7793835561
"GFCM.HCR.modif","Long Term","catch",88492.6292982286
"GFCM.HCR.modif","Short Term","Fbar",0.9893136889678
"GFCM.HCR.modif","Medium Term","Fbar",0.210703603501701
"GFCM.HCR.modif","Long Term","Fbar",0.562046659559818
"GFCM.HCR.modif","Short Term","risk",0
"GFCM.HCR.modif","Medium Term","risk",0
"GFCM.HCR.modif","Long Term","risk",0
